id,recipe_id,name,type
1,1,굽기,method
2,1,일상,occation
3,1,비건,kind
4,2,무침,method
5,2,일상,occation
6,2,비건,kind
7,3,무침,method
8,3,일상,occation
9,3,비건,kind
10,4,무침,method
11,4,초스피드,occation
12,4,비건,kind
13,5,조림,method
14,5,일상,occation
15,5,비건,kind
16,6,굽기,method
17,6,간식,occation
18,6,락토/오보,kind
19,7,부침,method
20,7,영양식,occation
21,7,페스코,kind
22,8,볶음,method
23,8,초스피드,occation
24,8,페스코,kind
25,9,부침,method
26,9,일상,occation
27,9,락토,kind
28,10,굽기,method
29,10,영양식,occation
30,10,비건,kind
31,11,굽기,method
32,11,,occation
33,11,락토/오보,kind
34,12,부침,method
35,12,술안주,occation
36,12,페스코,kind
37,13,부침,method
38,13,일상,occation
39,13,락토/오보,kind
40,14,굽기,method
41,14,일상,occation
42,14,락토,kind
43,15,굽기,method
44,15,일상,occation
45,15,페스코,kind
46,16,끓이기,method
47,16,일상,occation
48,16,페스코,kind
49,17,조림,method
50,17,일상,occation
51,17,페스코,kind
52,18,볶음,method
53,18,일상,occation
54,18,페스코,kind
55,19,볶음,method
56,19,일상,occation
57,19,페스코,kind
58,20,부침,method
59,20,일상,occation
60,20,오보,kind
61,21,부침,method
62,21,일상,occation
63,21,오보,kind
64,22,굽기,method
65,22,간식,occation
66,22,락토/오보,kind
67,23,기타,method
68,23,일상,occation
69,23,락토,kind
70,24,무침,method
71,24,일상,occation
72,24,비건,kind
73,25,찜,method
74,25,영양식,occation
75,25,페스코,kind
76,26,무침,method
77,26,일상,occation
78,26,비건,kind
79,27,비빔,method
80,27,일상,occation
81,27,오보,kind
82,28,굽기,method
83,28,간식,occation
84,28,락토/오보,kind
85,29,조림,method
86,29,일상,occation
87,29,페스코,kind
88,30,무침,method
89,30,일상,occation
90,30,비건,kind
91,31,부침,method
92,31,일상,occation
93,31,페스코,kind
94,32,끓이기,method
95,32,일상,occation
96,32,비건,kind
97,33,무침,method
98,33,초스피드,occation
99,33,비건,kind
100,34,무침,method
101,34,초스피드,occation
102,34,비건,kind
103,35,무침,method
104,35,일상,occation
105,35,페스코,kind
106,36,굽기,method
107,36,초스피드,occation
108,36,비건,kind
109,37,볶음,method
110,37,초스피드,occation
111,37,비건,kind
112,38,튀김,method
113,38,간식,occation
114,38,락토/오보,kind
115,39,무침,method
116,39,일상,occation
117,39,페스코,kind
118,40,끓이기,method
119,40,일상,occation
120,40,페스코,kind
121,41,끓이기,method
122,41,일상,occation
123,41,페스코,kind
124,42,끓이기,method
125,42,일상,occation
126,42,페스코,kind
127,43,조림,method
128,43,일상,occation
129,43,오보,kind
130,44,부침,method
131,44,일상,occation
132,44,비건,kind
133,45,끓이기,method
134,45,일상,occation
135,45,페스코,kind
136,46,튀김,method
137,46,손님접대,occation
138,46,비건,kind
139,47,볶음,method
140,47,일상,occation
141,47,페스코,kind
142,48,부침,method
143,48,일상,occation
144,48,오보,kind
145,49,굽기,method
146,49,간식,occation
147,49,페스코,kind
148,50,부침,method
149,50,술안주,occation
150,50,페스코,kind
151,51,볶음,method
152,51,일상,occation
153,51,비건,kind
154,52,볶음,method
155,52,일상,occation
156,52,비건,kind
157,53,끓이기,method
158,53,일상,occation
159,53,페스코,kind
160,54,볶음,method
161,54,일상,occation
162,54,비건,kind
163,55,굽기,method
164,55,간식,occation
165,55,락토/오보,kind
166,56,기타,method
167,56,초스피드,occation
168,56,페스코,kind
169,57,무침,method
170,57,일상,occation
171,57,페스코,kind
172,58,볶음,method
173,58,일상,occation
174,58,비건,kind
175,59,굽기,method
176,59,간식,occation
177,59,락토/오보,kind
178,60,끓이기,method
179,60,간식,occation
180,60,락토,kind
181,61,조림,method
182,61,일상,occation
183,61,페스코,kind
