id,name,type
1,단호박,1
2,찹쌀가루,1
3,식용유,2
4,도토리묵,1
5,달래,1
6,김,1
7,통깨,2
8,간장,2
9,고춧가루,2
10,설탕,2
11,다진마늘,1
12,참기름,2
13,시금치,1
14,쌈장,2
15,깨,2
16,미나리,1
17,대파,1
18,매실액,2
19,깨소금,2
20,메추리알,1
21,양파,1
22,카레가루,1
23,물,2
24,소금,2
25,건무화과발효종,1
26,세몰리나듀럼밀,1
27,우유,1
28,생크림,1
29,달걀,1
30,원당,1
31,무염버터,1
32,검은깨,2
33,녹차,1
34,아몬드가루,1
35,슈가파우더,1
36,크림치즈,1
37,레몬즙,2
38,굴,1
39,고추,1
40,밀가루,1
41,콩나물,1
42,어묵,1
43,당근,1
44,쪽파,1
45,후추,2
46,굴소스,2
47,고구마,1
48,올리고당,2
49,견과류,1
50,버터,1
51,더덕,1
52,고추장,2
53,진간장,2
54,맛술,2
55,참깨,2
56,또띠아,1
57,토마토파스타소스,1
58,머스타드소스,1
59,모짜렐라치즈,1
60,체다치즈,1
61,사과,1
62,토마토,1
63,발사믹드레싱,1
64,루꼴라,1
65,파마산치즈,1
66,꼬막,1
67,부침가루,1
68,올리브오일,2
69,빵가루,1
70,슬라이스치즈,1
71,랍스터,1
72,마늘,1
73,레몬,1
74,파슬리,1
75,마요네즈,2
76,피자치즈,1
77,라면,1
78,떡국떡,1
79,파,1
80,청양고추,1
81,유채나물,1
82,조기,1
83,다시마,1
84,매실청,2
85,참치액,1
86,생강즙,1
87,두부,1
88,칠게,1
89,올리브유,2
90,전분가루,1
91,생강술,1
92,파프리카,1
93,청주,1
94,박력분,1
95,파스타면,1
96,콜비치즈,1
97,올리브,1
98,천일염,2
99,아귀,1
100,돌미나리,1
101,고추기름,2
102,된장,2
103,생강,1
104,멸치액젓,2
105,양파즙,1
106,황설탕,2
107,식빵,1
108,잣,1
109,식초,2
110,오이,1
111,바질,1
112,현미,1
113,열무김치,1
114,부추무생채,1
