id,name,calorie,fats,carbo,proteins
1,가리비,106,27,9,64
2,가지,24,6,80,14
3,게맛살,168,44,2,54
4,고구마,86,1,92,7
5,고등어,167,52,0,48
6,고추,40,8,75,17
7,고추장,223,8,84,8
8,그린올리브,145,88,10,2
9,김,35,5,44,51
10,꼬막,81,13,15,72
11,느타리버섯,24,9,59,32
12,다시마,19,10,76,14
13,단호박,29,4,84,12
14,달걀,147,63,2,35
15,당근,41,5,87,8
16,대파,34,10,70,20
17,두부,79,46,14,40
18,땅콩버터,588,72,12,16
19,랍스타,97,6,6,88
20,레몬,29,6,84,10
21,로메인상추,19,11,65,24
22,리코타치즈,156,60,11,29
23,마늘,149,3,82,15
24,마요네즈,390,75,24,1
25,만두,145,17,69,14
26,명란젓,120,41,6,53
27,모짜렐라치즈,302,60,5,35
28,무우,16,5,79,16
29,문어,82,12,11,77
30,물미역,19,9,65,26
31,바게트,274,10,77,13
32,밥,143,3,89,8
33,방울토마토,16,6,72,22
34,배추,13,11,53,36
35,배추김치,22,11,63,26
36,버터,717,100,0,0
37,베이글,257,6,79,15
38,브로콜리,34,8,65,27
39,새우,106,16,4,80
40,샐러리,14,9,73,18
41,소면,356,2,85,13
42,스파게티면,360,4,83,13
43,양배추,24,4,77,19
44,연근,74,1,86,13
45,와플,310,28,63,9
46,우유,50,36,38,26
47,잡곡식빵,305,21,64,15
48,전복,79,7,24,69
49,체다치즈,403,74,1,25
50,치커리,23,10,66,24
51,칠리소스,104,3,86,11
52,케일,43,10,67,23
53,케첩,97,3,91,6
54,토마토,18,9,75,16
55,토마토파스타소스,37,5,81,14
56,파슬리,36,16,57,27
57,파인애플,48,2,94,4
58,파프리카,20,7,79,14
59,팽이버섯,42,9,66,25
60,표고버섯,38,9,63,28
61,숙주나물,21,33,43,24
62,시금치,23,12,49,39
63,아보카도,160,76,20,4
64,애호박,16,8,67,25
65,양파,42,2,90,8
66,오이,12,12,69,19
67,오징어,92,14,14,72
68,아몬드,578,74,13,13
69,사과,52,3,95,2
70,블루베리,57,5,90,5
71,호두,654,84,8,8
72,감자,66,1,89,10
