id,recipe_id,ingredients_id
1,1,1
2,1,2
3,1,3
4,2,4
5,2,5
6,2,6
7,2,7
8,2,8
9,2,9
10,2,10
11,2,11
12,2,12
13,3,13
14,3,14
15,3,12
16,3,11
17,3,15
18,4,16
19,4,11
20,4,17
21,4,9
22,4,8
23,4,18
24,4,12
25,4,19
26,5,20
27,5,21
28,5,17
29,5,22
30,5,23
31,5,24
32,6,25
33,6,26
34,6,27
35,6,28
36,6,29
37,6,24
38,6,30
39,6,31
40,6,32
41,6,33
42,6,29
43,6,34
44,6,35
45,6,36
46,6,37
47,7,38
48,7,5
49,7,39
50,7,29
51,7,40
52,7,24
53,8,41
54,8,42
55,8,43
56,8,21
57,8,44
58,8,12
59,8,7
60,8,45
61,8,8
62,8,11
63,8,46
64,8,10
65,9,47
66,9,2
67,9,48
68,9,49
69,9,50
70,10,51
71,10,52
72,10,9
73,10,53
74,10,10
75,10,54
76,10,12
77,10,3
78,10,55
79,11,56
80,11,57
81,11,58
82,11,59
83,11,60
84,11,61
85,11,62
86,11,29
87,11,63
88,11,64
89,11,65
90,12,66
91,12,16
92,12,39
93,12,67
94,12,23
95,13,29
96,13,27
97,13,64
98,13,62
99,13,24
100,14,1
101,14,68
102,14,69
103,14,70
104,14,60
105,15,71
106,15,50
107,15,72
108,15,48
109,15,73
110,15,74
111,15,75
112,15,76
113,16,77
114,16,78
115,16,79
116,16,80
117,16,72
118,16,9
119,16,45
120,16,71
121,16,14
122,17,81
123,17,82
124,17,21
125,17,80
126,17,39
127,17,17
128,17,83
129,17,54
130,17,24
131,17,53
132,17,9
133,17,84
134,17,85
135,17,11
136,17,48
137,17,86
138,17,12
139,17,45
140,18,87
141,18,21
142,18,72
143,18,46
144,18,53
145,18,48
146,18,12
147,18,7
148,19,88
149,19,39
150,19,21
151,19,44
152,19,89
153,19,7
154,19,12
155,19,90
156,19,8
157,19,54
158,19,18
159,19,91
160,19,9
161,19,52
162,19,11
163,19,45
164,19,46
165,19,48
